master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
s8a-p_001_025,S8a-P,001/025,ポケモン,炎,リザードン,-,A,False
s8a-p_002_025,S8a-P,002/025,ポケモン,草,フシギバナ,-,A,False
s8a-p_003_025,S8a-P,003/025,ポケモン,水,カメックス,-,A,False
s8a-p_004_025,S8a-P,004/025,トレーナーズ,サポート,にせオーキドはかせ,-,A,False
s8a-p_005_025,S8a-P,005/025,ポケモン,水,わるいギャラドス,-,A,False
s8a-p_006_025,S8a-P,006/025,トレーナーズ,サポート,ロケット団参上！,-,A,False
s8a-p_007_025,S8a-P,007/025,ポケモン,雷,_のピカチュウ,-,A,False
s8a-p_008_025,S8a-P,008/025,ポケモン,雷,R団のサンダー,-,A,False
s8a-p_009_025,S8a-P,009/025,ポケモン,無,ピィ,-,A,False
s8a-p_010_025,S8a-P,010/025,ポケモン,水,ひかるコイキング,-,A,False
s8a-p_011_025,S8a-P,011/025,ポケモン,闘,マグマ団のグラードン,-,A,False
s8a-p_012_025,S8a-P,012/025,ポケモン,悪,ブラッキー☆,-,A,False
s8a-p_013_025,S8a-P,013/025,トレーナーズ,サポート,ロケット団の幹部,-,A,False
s8a-p_014_025,S8a-P,014/025,ポケモン,超,ミュウex,-,A,False
s8a-p_015_025,S8a-P,015/025,ポケモン,炎,サーナイトex δ種,-,A,False
s8a-p_016_025,S8a-P,016/025,ポケモン,闘,ネンドール,-,A,False
s8a-p_017_025,S8a-P,017/025,ポケモン,雷,レントラーGL,-,A,False
s8a-p_018_025,S8a-P,018/025,ポケモン,無,ガブリアスC,-,A,False
s8a-p_019_025,S8a-P,019/025,ポケモン,闘,ドンファン,-,A,False
s8a-p_020_025,S8a-P,020/025,ポケモン,炎,レシラム,-,A,False
s8a-p_021_025,S8a-P,021/025,ポケモン,雷,ゼクロム,-,A,False
s8a-p_022_025,S8a-P,022/025,ポケモン,超,ミュウツーEX,-,A,False
s8a-p_023_025,S8a-P,023/025,ポケモン,妖,ゼルネアスEX,-,A,False
s8a-p_024_025,S8a-P,024/025,ポケモン,無,MレックウザEX,-,A,False
s8a-p_025_025,S8a-P,025/025,ポケモン,超,カプ・テテフGX,-,A,False
