master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
sm2p_050_049,SM2p,050/049,ポケモン,草,カプ・ブルルGX,SR,A,False
sm2p_051_049,SM2p,051/049,ポケモン,炎,エンニュートGX,SR,A,False
sm5p_051_050,SM5p,051/050,ポケモン,草,パルキアGX,SR,B,False
sm2k_051_050,SM2K,051/050,ポケモン,炎,バクガメスGX,SR,A,False
sm7b_051_050,SM7b,051/050,ポケモン,草,ジュカインGX,SR,B,False
sm4s_051_050,SM4S,051/050,ポケモン,雷,アローラゴローニャGX,SR,A,False
sm2l_051_050,SM2L,051/050,ポケモン,水,ヨワシGX,SR,A,False
sm4a_051_050,SM4A,051/050,ポケモン,水,ギャラドスGX,SR,A,False
sm2p_052_049,SM2p,052/049,ポケモン,水,カプ・レヒレGX,SR,A,False
sm2k_052_050,SM2K,052/050,ポケモン,水,アローラキュウコンGX,SR,A,False
sm2l_052_050,SM2L,052/050,ポケモン,超,カプ・テテフGX,SR,A,False
sm5p_052_050,SM5p,052/050,ポケモン,超,アーゴヨンGX,SR,B,False
sm4a_052_050,SM4A,052/050,ポケモン,超,ウツロイドGX,SR,A,False
sm4s_052_050,SM4S,052/050,ポケモン,闘,マッシブーンGX,SR,A,False
sm7b_052_050,SM7b,052/050,ポケモン,雷,シンボラーGX,SR,B,False
sm1p_052_051,SM1p,052/051,ポケモン,草,ジュナイパーGX,SR,A,False
sm3n_052_051,SM3N,052/051,ポケモン,草,グソクムシャGX,SR,A,False
sm3h_052_051,SM3H,052/051,ポケモン,炎,リザードンGX,SR,A,False
sm2p_053_049,SM2p,053/049,ポケモン,闘,カイリキーGX,SR,A,False
sm4a_053_050,SM4A,053/050,ポケモン,闘,アクジキングGX,SR,A,False
sm2l_053_050,SM2L,053/050,ポケモン,草,ルガルガンGX,SR,A,False
sm4s_053_050,SM4S,053/050,ポケモン,炎,カミツルギGX,SR,A,False
sm2k_053_050,SM2K,053/050,ポケモン,雷,カプ・コケコGX,SR,A,False
sm7b_053_050,SM7b,053/050,ポケモン,悪,アローラキュウコンGX,SR,B,False
sm5p_053_050,SM5p,053/050,ポケモン,闘,ルカリオGX,SR,B,False
sm3n_053_051,SM3N,053/051,ポケモン,超,ネクロズマGX,SR,A,False
sm3h_053_051,SM3H,053/051,ポケモン,炎,ホウオウGX,SR,A,False
sm1p_053_051,SM1p,053/051,ポケモン,炎,ガオガエンGX,SR,A,False
sm8a_053_052,SM8a,053/052,ポケモン,雷,デンリュウGX,SR,B,False
sm2p_054_049,SM2p,054/049,ポケモン,草,ルガルガンGX,SR,A,False
sm4a_054_050,SM4A,054/050,ポケモン,草,アローラナッシーGX,SR,A,False
sm2l_054_050,SM2L,054/050,ポケモン,炎,メタグロスGX,SR,A,False
sm2k_054_050,SM2K,054/050,ポケモン,雷,ジャラランガGX,SR,A,False
sm4s_054_050,SM4S,054/050,ポケモン,闘,シルヴァディGX,SR,A,False
sm7b_054_050,SM7b,054/050,ポケモン,無,ミミッキュGX,SR,B,False
sm5p_054_050,SM5p,054/050,ポケモン,炎,ディアルガGX,SR,B,False
sm3n_054_051,SM3N,054/051,ポケモン,闘,マーシャドーGX,SR,A,False
sm3h_054_051,SM3H,054/051,ポケモン,闘,アローラベトベトンGX,SR,A,False
sm1p_054_051,SM1p,054/051,ポケモン,草,アシレーヌGX,SR,A,False
sm8a_054_052,SM8a,054/052,ポケモン,闘,フーパGX,SR,B,False
sm6a_054_053,SM6a,054/053,ポケモン,炎,レシラムGX,SR,B,False
sm2p_055_049,SM2p,055/049,ポケモン,闘,ダークライGX,SR,A,False
sm3h_055_051,SM3H,055/051,ポケモン,超,オンバーンGX,SR,A,False
sm1p_055_051,SM1p,055/051,ポケモン,雷,クワガノンGX,SR,A,False
sm3n_055_051,SM3N,055/051,ポケモン,悪,サーナイトGX,SR,A,False
sm8a_055_052,SM8a,055/052,ポケモン,闘,ガオガエンGX,SR,B,False
sm6a_055_053,SM6a,055/053,ポケモン,草,キングドラGX,SR,B,False
sm10a_055_054,SM10a,055/054,ポケモン,炎,ヒードランGX,SR,C,False
sm9b_055_054,SM9b,055/054,ポケモン,草,フェローチェ&マッシブーンGX,SR,C,False
sm10b_055_054,SM10b,055/054,ポケモン,草,モクロー&アローラナッシーGX,SR,C,False
sm1p_056_051,SM1p,056/051,ポケモン,超,ドヒドイデGX,SR,A,False
sm8a_056_052,SM8a,056/052,ポケモン,炎,コバルオンGX,SR,B,False
